 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
0|5.69397,0.234633,0.234633,0.0173492 | 6.72436,0.336537,0.336537,0.0280292 | -0.287039,-0.0326551 | -0.82486,-0.109614
1|5.69453,0.234661,0.234661,0.0173496 | 6.72567,0.336627,0.336627,0.028034 | -0.287056,-0.0326457 | -0.825426,-0.10964
2|5.69509,0.234688,0.234688,0.01735 | 6.72699,0.336716,0.336716,0.0280388 | -0.287073,-0.0326362 | -0.825992,-0.109666
3|5.69566,0.234716,0.234716,0.0173504 | 6.7283,0.336805,0.336805,0.0280436 | -0.287089,-0.0326267 | -0.826556,-0.109693
4|5.69622,0.234744,0.234744,0.0173508 | 6.72962,0.336894,0.336894,0.0280483 | -0.287105,-0.0326172 | -0.82712,-0.109718
5|5.69679,0.234771,0.234771,0.0173512 | 6.73093,0.336983,0.336983,0.0280531 | -0.28712,-0.0326076 | -0.827683,-0.109744
6|5.69735,0.234799,0.234799,0.0173517 | 6.73225,0.337072,0.337072,0.0280579 | -0.287135,-0.032598 | -0.828244,-0.10977
7|5.69792,0.234827,0.234827,0.0173521 | 6.73357,0.337161,0.337161,0.0280627 | -0.28715,-0.0325883 | -0.828805,-0.109796
8|5.69848,0.234854,0.234854,0.0173525 | 6.73488,0.33725,0.33725,0.0280675 | -0.287164,-0.0325787 | -0.829365,-0.109821
9|5.69905,0.234882,0.234882,0.0173529 | 6.7362,0.33734,0.33734,0.0280722 | -0.287178,-0.032569 | -0.829925,-0.109846
10|5.69961,0.23491,0.23491,0.0173533 | 6.73752,0.337429,0.337429,0.028077 | -0.287191,-0.0325592 | -0.830483,-0.109871
11|5.70017,0.234937,0.234937,0.0173537 | 6.73884,0.337518,0.337518,0.0280818 | -0.287204,-0.0325495 | -0.83104,-0.109897
12|5.70074,0.234965,0.234965,0.0173541 | 6.74015,0.337607,0.337607,0.0280866 | -0.287217,-0.0325397 | -0.831596,-0.109921
13|5.7013,0.234992,0.234992,0.0173546 | 6.74147,0.337697,0.337697,0.0280914 | -0.287229,-0.0325298 | -0.832152,-0.109946
14|5.70187,0.23502,0.23502,0.017355 | 6.74279,0.337786,0.337786,0.0280961 | -0.287241,-0.03252 | -0.832707,-0.109971
15|5.70243,0.235048,0.235048,0.0173554 | 6.74411,0.337875,0.337875,0.0281009 | -0.287253,-0.0325101 | -0.83326,-0.109996
16|5.703,0.235075,0.235075,0.0173558 | 6.74543,0.337964,0.337964,0.0281057 | -0.287264,-0.0325001 | -0.833813,-0.11002
17|5.70356,0.235103,0.235103,0.0173562 | 6.74675,0.338054,0.338054,0.0281105 | -0.287274,-0.0324902 | -0.834365,-0.110044
18|5.70413,0.23513,0.23513,0.0173566 | 6.74808,0.338143,0.338143,0.0281153 | -0.287285,-0.0324802 | -0.834916,-0.110069
19|5.70469,0.235158,0.235158,0.017357 | 6.7494,0.338232,0.338232,0.02812 | -0.287295,-0.0324702 | -0.835465,-0.110093
20|5.70525,0.235185,0.235185,0.0173574 | 6.75072,0.338322,0.338322,0.0281248 | -0.287304,-0.0324601 | -0.836014,-0.110117
21|5.70582,0.235213,0.235213,0.0173578 | 6.75204,0.338411,0.338411,0.0281296 | -0.287313,-0.03245 | -0.836562,-0.11014
22|5.70638,0.23524,0.23524,0.0173582 | 6.75337,0.338501,0.338501,0.0281344 | -0.287322,-0.0324399 | -0.83711,-0.110164
